2,724051e-05 160000000 1 5437
1,034621e-05 160000000 1 5389
4,282411e-06 160000000 1 5561
2,885365e-05 160000000 1 5583
5,000091e-01 160000000 2 2861
4,999857e-01 160000000 2 2897
5,000004e-01 160000000 2 2972
4,999856e-01 160000000 2 3004
5,000163e-01 160000000 2 3111
6,666695e-01 160000000 3 1962
6,666641e-01 160000000 3 2068
6,666501e-01 160000000 3 2319
6,666492e-01 160000000 3 2160
6,666676e-01 160000000 3 2285
7,499935e-01 160000000 4 1583
7,499999e-01 160000000 4 1578
7,500182e-01 160000000 4 1616
7,499986e-01 160000000 4 1787
7,499984e-01 160000000 4 1707
7,500001e-01 160000000 4 1737
2,260416e-05 120000000 1 4196
1,181909e-06 120000000 1 4173
1,968632e-05 120000000 1 4306
1,135722e-05 120000000 1 4309
2,603693e-06 120000000 1 4304
5,000190e-01 120000000 2 2216
4,999913e-01 120000000 2 2180
5,000280e-01 120000000 2 2322
5,000099e-01 120000000 2 2334
5,000317e-01 120000000 2 2398
6,666729e-01 120000000 3 1539
6,666596e-01 120000000 3 1556
6,666586e-01 120000000 3 1583
6,666428e-01 120000000 3 1657
6,666542e-01 120000000 3 1646
7,500120e-01 120000000 4 1201
7,500124e-01 120000000 4 1197
7,499803e-01 120000000 4 1212
7,500097e-01 120000000 4 1303
7,500088e-01 120000000 4 1271
7,500098e-01 120000000 4 1273
7,500015e-01 120000000 4 1287
