2,144389e-04 12000000 1 450
4,392260e-05 12000000 1 404
4,042119e-05 12000000 1 408
1,113668e-05 12000000 1 423
1,729900e-05 12000000 1 424
8,902483e-05 12000000 1 423
4,424924e-05 12000000 1 424
2,039264e-04 12000000 1 424
1,296541e-04 12000000 1 424
7,847481e-06 12000000 1 418
1,147549e-04 24000000 2 439
1,138977e-04 24000000 2 439
4,069478e-05 24000000 2 432
3,374501e-05 24000000 2 455
2,009108e-04 24000000 2 424
1,367099e-04 24000000 2 424
2,896204e-05 24000000 2 439
1,474264e-04 24000000 2 470
1,043568e-04 24000000 2 456
1,193173e-04 24000000 2 455
3,155221e-05 36000000 3 470
3,360354e-05 36000000 3 471
1,195014e-05 36000000 3 439
2,995233e-05 36000000 3 439
5,783046e-05 36000000 3 433
6,609819e-05 36000000 3 471
2,719365e-05 36000000 3 470
2,401055e-05 36000000 3 439
1,599018e-04 36000000 3 424
1,662701e-05 36000000 3 424
1,380711e-04 48000000 4 473
3,020875e-05 48000000 4 455
1,484874e-04 48000000 4 475
8,899830e-05 48000000 4 466
7,572706e-05 48000000 4 485
6,441613e-06 48000000 4 471
1,145609e-04 48000000 4 486
7,125253e-05 48000000 4 502
1,042689e-04 48000000 4 470
6,724713e-05 48000000 4 502
4,142689e-05 60000000 5 518
4,082439e-05 60000000 5 487
1,562257e-05 60000000 5 502
4,277669e-05 60000000 5 502
7,762101e-05 60000000 5 502
1,443421e-05 60000000 5 486
3,807402e-05 60000000 5 486
3,743741e-05 60000000 5 518
6,552523e-05 60000000 5 486
6,332661e-05 60000000 5 518
4,499196e-05 72000000 6 501
4,023500e-05 72000000 6 518
4,283453e-05 72000000 6 502
6,549694e-05 72000000 6 502
6,065155e-05 72000000 6 525
2,679524e-05 72000000 6 682
1,659164e-05 72000000 6 849
5,356864e-05 72000000 6 502
5,866160e-05 72000000 6 504
1,736974e-05 72000000 6 522
6,112460e-05 96000000 8 630
2,187470e-05 96000000 8 646
5,410852e-05 96000000 8 583
1,658774e-05 96000000 8 561
8,887061e-05 96000000 8 566
4,784842e-05 96000000 8 594
2,735722e-05 96000000 8 574
3,391143e-06 96000000 8 565
6,308257e-05 96000000 8 571
1,446279e-04 96000000 8 593
3,886980e-05 120000000 10 744
7,137985e-05 120000000 10 741
7,643265e-05 120000000 10 758
2,191449e-05 120000000 10 770
2,053515e-05 120000000 10 818
3,735252e-05 120000000 10 737
4,162016e-05 120000000 10 754
7,467966e-05 120000000 10 771
4,199985e-05 120000000 10 791
1,337546e-05 120000000 10 816
5,784814e-05 144000000 12 959
1,090628e-05 144000000 12 914
8,978733e-06 144000000 12 1104
8,422208e-06 144000000 12 1365
6,023598e-05 144000000 12 1093
4,534564e-05 144000000 12 889
1,396610e-05 144000000 12 890
1,939506e-05 144000000 12 953
1,856391e-05 144000000 12 942
8,218326e-06 144000000 12 913
